longitude,latitude,depth
42.364387,-71.141196,0
42.364448,-71.141164,0
42.364513,-71.141107,0
42.364568,-71.141109,0
42.364579,-71.141038,0
42.364648,-71.141029,0
42.364691,-71.141043,0
42.364726,-71.141051,0
42.364763,-71.141086,0
42.364785,-71.141142,0
42.364795,-71.14118,0
42.364799,-71.141231,0
42.364789,-71.141247,0
42.364789,-71.141308,0
42.364777,-71.14137,0
42.364763,-71.141436,0
42.364729,-71.141520,0
42.36468,-71.141547,0
42.364646,-71.14155,0
42.364612,-71.141534,0
42.364576,-71.141537,0
42.364519,-71.141544,0
